hashtags,favorite_count,text,user_screen_name,user_name
newrigor,0,I'm not sure if my new hand is going to let me tweet for #newrigor I need a smaller keyboard @5collDH http://t.co/QGGTV8oDQT,EcstaticPesse,Ecstatic Pessimist
newrigor,0,"@amplify285 kicks off the @5collDH #newrigor conference. ""What is *actually* helpful?""",kgbain,Kimberly Bain
5cdh newrigor,0,"Great time at the undergrad #5cdh symposium, extremely excited to meet some minds at #newrigor",EcstaticPesse,Ecstatic Pessimist
DHfuel NewRigor,1,Pocky sticks as #DHfuel at #NewRigor. I like it!,ByzCapp,Byzantine Cappadocia
newrigor,0,Getting ready to start at the #newrigor @umassph,jonberndtolsen,Jon Berndt Olsen
5cdh newrigor,0,"@Pompeiana79 this implications of this question are terrifying! But based on the presentation, I'm leaning towards yes. #5cdh #newrigor",sheishistoric,Emily Esten
NewRigor,1,Skyping in to the #NewRigor with @5collDH !! Talking new modes of DH scholarship evaluation http://t.co/y0WH4gN1je,_superluminal,liz alexander
5cdh newrigor,1,"@sheishistoric so, now I must ask, has the internet made 'the absurd', absurd? #5cdh #newrigor",Pompeiana79,Eric Poehler
5cdh newrigor,0,Cade Johnson's mention of Tumblr culture &amp; humor and using that to connect the absurdity and seriousness in her research #5cdh #newrigor,sheishistoric,Emily Esten
NewRigor,2,"#NewRigor students show DH as a:
performance space
representational space
methodological platform
genre
source of freedom
means of control",Pompeiana79,Eric Poehler
NewRigor,0,"@5collDH Hi, will the only #NewRigor Skype session be at 12:15-1 pm, or is there a second session for online participants?",ByzCapp,Byzantine Cappadocia
5cdh NewRigor,1,Panel picture! @5collDH #5cdh #NewRigor http://t.co/5UwDvEV0Ar,jeffreymoro,Jeffrey Moro
NewRigor 5cdh,0,Panel time! @5collDH #NewRigor #5cdh,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,More of @EcstaticPesse's sketches @5collDH #5cdh #newrigor http://t.co/pQW8cHZO5X,jeffreymoro,Jeffrey Moro
roboticsculpture 5cdh newrigor,1,@ecstaticpesse's sketch for a cellphone case made from squirrel roadkill #roboticsculpture @5collDH #5cdh #newrigor http://t.co/9BTfyuQYNQ,Yael_Rice,Yael Rice
NewRigor digitalhumanities 5cdh,2,These robots are just amazing. #NewRigor #digitalhumanities #5cdh @EcstaticPesse  https://t.co/ozWsEEKe1Y,amplify285,Marisa Parham
5cdh newrigor,0,"""The Dangler"" sounds a lot like @NightValeRadio's Whispering Forest. #5cdh #newrigor @EcstaticPesse",sheishistoric,Emily Esten
5cdh newrigor,1,.@EcstaticPesse's website: http://t.co/tJ2VSPjbnu @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
NewRigor 5cDH,0,.@EcstaticPesse's research goals for the @5collDH fellowship. #NewRigor #5cDH http://t.co/cSZwgEVloV,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,.@EcstaticPesse's first project was http://t.co/gZKc2qXaZa @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
NewRigor 5cDH,0,.@EcstaticPesse wanting to use computational sculptures that address how technology restricts and controls bodies. @5collDH #NewRigor #5cDH,jeffreymoro,Jeffrey Moro
5cdh NewRigor,0,"Finally, @EcstaticPesse with ""Digital Technology as a Force of Despair Which Poses as a Force of Hope."" @5collDH #5cdh #NewRigor",jeffreymoro,Jeffrey Moro
5cdh newrigor,3,"This title is curious: Wouter Schievnik's ""Digital Technology as a Force of Despair Which Poses as a Force of Hope"" #5cdh #newrigor",sheishistoric,Emily Esten
5cdh NewRigor,0,"Van Roggen: ""Data doesn't have narrative by itself, you have to find it."" @5collDH #5cdh #NewRigor",jeffreymoro,Jeffrey Moro
NewRigor 5cDH,1,"Van Roggen thinking @ what it means to be excited by what you find, w or w/o the narrative that fits it all together. #NewRigor #5cDH",5collDH,Five College DH
5cdh newrigor,2,Juliana van Roggen uses ArcGIS to map molten iron deposits in the streets of Pompeii @5collDH #5cdh #newrigor http://t.co/s0dVLGPsdC,Yael_Rice,Yael Rice
newrigor 5cdh,1,"(This might be giving it away, but you can see Van Roggen's maps at http://t.co/GqXknfOxJe!) @5collDH #newrigor #5cdh",jeffreymoro,Jeffrey Moro
NewRigor,0,"More of Van Roggen's maps, revealing patterns and clusters of iron deposits in Pompeii streets. @5collDH #NewRigor http://t.co/hbwd2YtIg6",jeffreymoro,Jeffrey Moro
NewRigor,2,"@jeffreymoro @5collDH On the other hand, I want those sounds on my phone to listen to when I write in the early AM. #NewRigor",Pompeiana79,Eric Poehler
5cdh newrigor,0,Van Roggen: How to make sense of archaeological data through the use of maps? #5cdh @5collDH #newrigor http://t.co/acrSoBYspL,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,"Next up, Juliana van Roggen from @UMassAmherst on ""The Iron Streets of Pompeii"" #5cdh #newrigor @5collDH http://t.co/dhopVhOgHb",jeffreymoro,Jeffrey Moro
5cdh NewRigor,0,Juliana van Roegen tackles the disconnection between archaeologists and the public. #5cdh #NewRigor,sheishistoric,Emily Esten
5cdh newrigor,1,Wang lets the sounds percolate until the start to drone. #5cdh @5collDH #newrigor http://t.co/WOgpnQqgwe,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,Wang now walking us through the overdubbing process. #5cdh @5collDH #newrigor http://t.co/Vy10wlUQHk,jeffreymoro,Jeffrey Moro
newrigor 5cdh,1,Can you hear Wang's piece in this video? @5collDH #newrigor #5cdh http://t.co/v7NpTdhrGi,jeffreymoro,Jeffrey Moro
5cdh newrigor,1,"Wang: appreciating noise for its ""entire sensory quality"" rather than aesthetic or cultural significations. @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
newrigor 5cdh,0,"Wang: for his practice, loop pedals take the place of tape loops. @5collDH #newrigor #5cdh http://t.co/YJJnhvY0Ma",jeffreymoro,Jeffrey Moro
newrigor,0,"Wang also taking cues from Brian Eno's nontraditional visual scores like for ""Music for Airports"" @5collDH #newrigor http://t.co/YNKdqbwqWX",jeffreymoro,Jeffrey Moro
5cdh newrigor,0,Wang takes cues from Steve Reich's tape loops. @5collDH #5cdh #newrigor http://t.co/srCy3u5lfW,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,"Next up Andrew Wang with ""Converging Loops:Using Digital Technology to Generate Dense Sound From Spare Materials."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
5cdh newrigor,2,"Cade Johnson's ""Haraway's Basement"" follows the cyborg into darker territory  @5collDH #5cdh #newrigor",Yael_Rice,Yael Rice
5cdh newrigor cadejohnson,1,"Johnson: ""The basement - here are the memories that don't quite fit and were probably never meant to.""  #5cdh #newrigor #cadejohnson",sheishistoric,Emily Esten
5cdh newrigor,0,Johnson's final project takes the form of a @twinethreads game. @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
newrigor 5cdh,1,"Johnson: ""To follow the cyborg into the garish and disgusting."" @5collDH #newrigor #5cdh http://t.co/znUgSS54P3",jeffreymoro,Jeffrey Moro
5cdh newrigor,1,"Johnson: ""Queerness in women [in media] is inextricably tied to madness."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
5cdh newrigor,0,Johnson: How will Twitter or Tumblr exist in a queer future? @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,"Johnson's project: to write the ""haunted historiography"" of queer media experiences. #5cdh #newrigor @5collDH",jeffreymoro,Jeffrey Moro
5cdh newrigor,0,"Johnson: ""A Google search for 'lesbian' opens into a near-labyrinth of possibility."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
newrigor 5cdh,1,"Next up, Cade Johnson from @smithcollege with ""haraway's basement"" on the strange life of queer horror cinema @5collDH #newrigor #5cdh",jeffreymoro,Jeffrey Moro
newrigor 5cdh,0,"Pardo: ""Collaboration is absolutely key."" @5collDH #newrigor #5cdh",jeffreymoro,Jeffrey Moro
5cdh newrigor,2,"I love Pardo's project b/c of its elegant blend of scholarship, art, and activism. #5cdh #newrigor @5collDH",jeffreymoro,Jeffrey Moro
5cdh newrigor,0,Pardo's game in practice @5collDH #5cdh #newrigor http://t.co/nCT0onBJ1c,jeffreymoro,Jeffrey Moro
5cdh newrigor,1,"""Can a virtual reality game help people unlearn problematic behavior?"" Pardo's project reminds me of @criticalplay @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
coralieprado 5cdh newrigor,1,Interesting breakdown of game developer/player objectives #coralieprado #5cdh #newrigor,sheishistoric,Emily Esten
NewRigor,0,.@AmherstCollege senior Craig Campbell presenting his digital humanities project at the @5collDh #NewRigor symposium http://t.co/QEDDJQoas7,5collDH,Five College DH
newrigor 5cdh,0,Pardo's project directly in response to recent police and civilian killing of Black lives. @5collDH #newrigor #5cdh http://t.co/uJoQpq1B4i,jeffreymoro,Jeffrey Moro
5cDH NewRigor,0,"Campbell's work: ""Building an interface that coproduces *with* the images on display."" #5cDH #NewRigor @5collDH",jeffreymoro,Jeffrey Moro
dh newrigor 5cdh,1,(Smashing the window then becomes a potent metaphor for the work of #dh) @5collDH #newrigor #5cdh,jeffreymoro,Jeffrey Moro
5cDH NewRigor,0,Campbell making a conceptual link between the computer screen and microscope through the idea of a window. #5cDH #NewRigor @5collDH,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,"Campbell ""Cyberspace is a space because we call the Internet a space where things happen."" #5cdh #newrigor @5collDH",jeffreymoro,Jeffrey Moro
Scalar 5cDH NewRigor,0,Campbell’s  @5colldh project uses #Scalar in its consideration of the movement of body and mind in cyberspace. #5cDH #NewRigor,5collDH,Five College DH
5cdh newrigor,1,Campbell thinking through Anne Friedberg to conceptualize the screen as digital window. @5collDH #5cdh #newrigor http://t.co/Iv6Eo4byal,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,Campbell uses @anvcscalar to build his @5collDH project! #5cdh #newrigor http://t.co/nkdbS0SWIu,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,"Campbell: ""The virtual disappears as it becomes actualized in physical space."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
5cdh newrigor,0,"First up, Craig Campbell with ""Cruising the Virtual""! @AmherstCollege @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
5cdh newrigor,0,".@amplify285: our Undergrad Fellows program is about ""empowering individual scholars"" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
5cdh newrigor,0,We're getting started with the Student Symposium! @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
5cdh newrigor,0,#5cdh #newrigor @ Amherst College https://t.co/VG47pxfbEQ,sheishistoric,Emily Esten
NewRigor,0,"Juliana van Roggen of @UMassAmherst maps the iron streets of Pompeii in her undergrad DH proj

Today! ⇢ http://t.co/DiHFNdWy7q #NewRigor",5collDH,Five College DH
newrigor,0,"“Cyberspace: the dream of what the internet might allow.” √ fellow Craig Campbell’s DH proj.

Today! 10am ⇢ http://t.co/DiHFNdWy7q #newrigor",5collDH,Five College DH
OculusRift blacklivesmatter NewRigor,3,"DH fellow Coralie Pardo uses #OculusRift to explore #blacklivesmatter in her undergrad project 

TODAY! ⇢ http://t.co/DiHFNdEXfS  #NewRigor",5collDH,Five College DH
newrigor,2,"guys i'm *so* ready for the @5collDH student symposium + #newrigor conference tomorrow, lemme tell you http://t.co/k3bJK8DtjC",jeffreymoro,Jeffrey Moro
NewRigor,0,Heidi just registered for the #NewRigor conference! Join the convo and register: http://t.co/xxQUw3OND8 |,5collDH,Five College DH
newrigor,0,"“Cyberspace: the dream of what the internet might allow.” √ fellow Craig Campbell’s proj.

Sat 5/2 10am ⇢ http://t.co/DiHFNdWy7q #newrigor",5collDH,Five College DH
NewRigor,0,"Fellow Juliana's @5collDH proj maps Pompeii's ancient roads.

✓our Student Symposium: Sat 5/2 @ 10a ⇢ http://t.co/DiHFNdEXfS #NewRigor",5collDH,Five College DH
NewRigor,0,Danielle just registered for the #NewRigor conference! Join the convo and register: http://t.co/xxQUw3OND8 |,5collDH,Five College DH
NewRigor,0,John just registered for the #NewRigor conference! Join the convo and register: http://t.co/xxQUw3OND8 |,5collDH,Five College DH
NewRigor,0,Kali just registered for the #NewRigor conference! Join the convo and register: http://t.co/xxQUw3OND8 |,5collDH,Five College DH
